transaction_id,user_id,merchant_id,amount,timestamp,device_id,ip_address,account_age_days,failed_attempts,refund_count,is_fraud
TXN_004834,USER_1457,MERCHANT_087,955.02,2026-06-05 22:38:04.362924,DEVICE_1457_A,IP_1457_A,186,0,0,0
TXN_000592,USER_0307,MERCHANT_078,419.34,2026-06-05 22:54:04.362924,DEVICE_0307_A,IP_0307_A,1071,0,0,0
TXN_000932,USER_0421,MERCHANT_039,2459.71,2026-06-05 22:56:04.362924,DEVICE_0421_A,IP_0421_A,957,0,0,0
TXN_002661,USER_0514,MERCHANT_044,248.45,2026-06-05 22:59:04.362924,DEVICE_0514_A,IP_0514_A,830,1,0,0
TXN_002901,USER_0898,MERCHANT_029,579.87,2026-06-05 23:32:04.362924,DEVICE_0898_A,IP_0898_A,478,1,0,0
TXN_001610,USER_0227,MERCHANT_083,496.54,2026-06-05 23:42:04.362924,DEVICE_0227_A,IP_0227_A,464,0,0,0
TXN_004036,USER_0391,MERCHANT_076,1229.62,2026-06-06 00:12:04.362924,DEVICE_0391_A,IP_0391_A,526,0,0,0
TXN_000937,USER_1267,MERCHANT_092,278.94,2026-06-06 00:22:04.362924,DEVICE_1267_A,IP_1267_A,254,1,1,0
TXN_003240,USER_1371,MERCHANT_046,1212.41,2026-06-06 00:46:04.362924,DEVICE_1371_A,IP_1371_A,979,1,0,0
TXN_004226,USER_0466,MERCHANT_065,886.12,2026-06-06 00:54:04.362924,DEVICE_0466_A,IP_0466_A,583,0,1,0
TXN_004433,USER_0679,MERCHANT_024,711.19,2026-06-06 01:20:04.362924,DEVICE_0679_A,IP_0679_A,109,1,0,0
TXN_005967,USER_0912,MERCHANT_056,1136.0,2026-06-06 01:23:04.362924,DEVICE_0912_A,IP_0912_A,391,1,0,0
TXN_001038,USER_1405,MERCHANT_019,200.07,2026-06-06 01:30:04.362924,DEVICE_1405_A,IP_1405_A,818,1,0,0
TXN_004304,USER_0406,MERCHANT_081,1016.89,2026-06-06 01:48:04.362924,DEVICE_0406_A,IP_0406_A,837,1,0,0
TXN_005061,USER_1161,MERCHANT_124,477.25,2026-06-06 02:04:04.362924,DEVICE_1161_A,IP_1161_A,838,2,0,0
TXN_005230,USER_1428,MERCHANT_142,1230.75,2026-06-06 02:24:04.362924,DEVICE_1428_A,IP_1428_A,259,0,1,0
TXN_004482,USER_0240,MERCHANT_006,743.44,2026-06-06 03:02:04.362924,DEVICE_0240_A,IP_0240_A,406,1,0,0
TXN_001297,USER_0371,MERCHANT_141,1195.4,2026-06-06 03:05:04.362924,DEVICE_0371_A,IP_0371_A,744,0,0,0
